func_type,run_idx,run_time
custom,1,235.18802666664124
custom,2,229.33463954925537
custom,3,236.04094767570496
custom,4,228.75269961357117
custom,5,235.20585918426514
custom,6,230.12140369415283
custom,7,236.9154450893402
custom,8,233.03156805038452
custom,9,234.93558311462402
custom,10,231.73456168174744
custom,11,236.52500534057617
custom,12,232.0336389541626
custom,13,239.920658826828
custom,14,230.7844533920288
custom,15,235.50822281837463
custom,16,230.5992271900177
custom,17,233.55258560180664
custom,18,231.94512271881104
custom,19,236.4042317867279
custom,20,228.63444185256958
builtin,1,22.92107892036438
builtin,2,24.95270824432373
builtin,3,23.490541458129883
builtin,4,22.862166166305542
builtin,5,21.678148984909058
builtin,6,22.629690170288086
builtin,7,21.015605211257935
builtin,8,22.85942316055298
builtin,9,21.455947399139404
builtin,10,21.533849716186523
builtin,11,22.542961835861206
builtin,12,22.456855535507202
builtin,13,21.42414164543152
builtin,14,23.126046419143677
builtin,15,22.740559339523315
builtin,16,22.096760034561157
builtin,17,21.343974351882935
builtin,18,22.07893133163452
builtin,19,20.73816442489624
builtin,20,22.09522008895874
